CO_FIP,time,total_precipitation_m,latitude_precip,longitude_precip,temperature_K,latitude_temp,longitude_temp
17001,2009-03-01 00:00:00,,,,279.9361328125,40.05,-91.2
17001,2009-03-31 18:00:00,0.00494025941006834,40.05,-91.2,,,
17001,2009-04-01 00:00:00,,,,284.702099609375,40.05,-91.2
17001,2009-04-30 18:00:00,0.0036880492232739598,40.05,-91.2,,,
17001,2009-05-01 00:00:00,,,,291.0291015625,40.05,-91.2
17001,2009-05-31 18:00:00,0.0052862642332911,40.05,-91.2,,,
17001,2009-06-01 00:00:00,,,,296.445556640625,40.05,-91.2
17001,2009-06-30 18:00:00,0.0024172782432287203,40.05,-91.2,,,
17001,2009-07-01 00:00:00,,,,295.4227783203125,40.05,-91.2
17001,2009-07-31 18:00:00,0.00365939121693366,40.05,-91.2,,,
17001,2009-08-01 00:00:00,,,,295.581591796875,40.05,-91.2
17001,2009-08-31 18:00:00,0.0040353297721594005,40.05,-91.2,,,
17001,2009-09-01 00:00:00,,,,292.08505859375,40.05,-91.2
17001,2009-09-30 18:00:00,0.0063856348395347,40.05,-91.2,,,
17001,2009-10-01 00:00:00,,,,283.33603515625,40.05,-91.2
17001,2009-10-31 18:00:00,0.00310699935071166,40.05,-91.2,,,
17001,2009-11-01 00:00:00,,,,282.07978515625,40.05,-91.2
17001,2009-11-30 18:00:00,0.00272560114972288,40.05,-91.2,,,
17001,2009-12-01 00:00:00,,,,271.97939453125,40.05,-91.2
17001,2009-12-31 18:00:00,0.0019753217697142797,40.05,-91.2,,,
17001,2010-01-01 00:00:00,,,,267.004248046875,40.05,-91.2
17001,2010-01-31 18:00:00,0.00202721352688962,40.05,-91.2,,,
17001,2010-02-01 00:00:00,,,,268.7030517578125,40.05,-91.2
17001,2010-02-28 18:00:00,0.0024264573119580197,40.05,-91.2,,,
17001,2010-03-01 00:00:00,,,,280.134521484375,40.05,-91.2
17001,2010-03-31 18:00:00,0.00415396667085582,40.05,-91.2,,,
17001,2010-04-01 00:00:00,,,,289.239208984375,40.05,-91.2
17001,2010-04-30 18:00:00,0.005307555198669401,40.05,-91.2,,,
17001,2010-05-01 00:00:00,,,,291.049267578125,40.05,-91.2
17001,2010-05-31 18:00:00,0.00611271853558714,40.05,-91.2,,,
17001,2010-06-01 00:00:00,,,,297.8550048828125,40.05,-91.2
17001,2010-06-30 18:00:00,0.00532231316901738,40.05,-91.2,,,
17001,2010-07-01 00:00:00,,,,299.09921875,40.05,-91.2
17001,2010-07-31 18:00:00,0.0023534296080469598,40.05,-91.2,,,
17001,2010-08-01 00:00:00,,,,298.8261962890625,40.05,-91.2
17001,2010-08-31 18:00:00,0.00436298819258804,40.05,-91.2,,,
17001,2010-09-01 00:00:00,,,,293.2813232421875,40.05,-91.2
17001,2010-09-30 18:00:00,0.0010654329322278,40.05,-91.2,,,
17001,2010-10-01 00:00:00,,,,287.2863037109375,40.05,-91.2
17001,2010-10-31 18:00:00,0.0014227268751710199,40.05,-91.2,,,
17001,2010-11-01 00:00:00,,,,280.0622802734375,40.05,-91.2
17001,2010-11-30 18:00:00,0.00125197768211362,40.05,-91.2,,,
17001,2010-12-01 00:00:00,,,,270.7318359375,40.05,-91.2
17001,2010-12-31 18:00:00,0.00108444676734502,40.05,-91.2,,,
17001,2011-01-01 00:00:00,,,,268.12080078125,40.05,-91.2
17001,2011-01-31 18:00:00,0.00326459403149778,40.05,-91.2,,,
17001,2011-02-01 00:00:00,,,,272.352783203125,40.05,-91.2
17001,2011-02-28 18:00:00,0.00153867006301872,40.05,-91.2,,,
17001,2011-03-01 00:00:00,,,,279.235546875,40.05,-91.2
17001,2011-03-31 18:00:00,0.00559186930768188,40.05,-91.2,,,
17001,2011-04-01 00:00:00,,,,285.640283203125,40.05,-91.2
17001,2011-04-30 18:00:00,0.00454938402399414,40.05,-91.2,,,
17001,2011-05-01 00:00:00,,,,290.664599609375,40.05,-91.2
17001,2011-05-31 18:00:00,0.00762090669013554,40.05,-91.2,,,
17001,2011-06-01 00:00:00,,,,296.647314453125,40.05,-91.2
17001,2011-06-30 18:00:00,0.0015799043234437,40.05,-91.2,,,
17001,2011-07-01 00:00:00,,,,300.926904296875,40.05,-91.2
17001,2011-07-31 18:00:00,0.00237511377781622,40.05,-91.2,,,
17001,2011-08-01 00:00:00,,,,297.772216796875,40.05,-91.2
17001,2011-08-31 18:00:00,0.00181487775407728,40.05,-91.2,,,
17001,2011-09-01 00:00:00,,,,290.881298828125,40.05,-91.2
17001,2011-09-30 18:00:00,0.0008450149092822801,40.05,-91.2,,,
17001,2011-10-01 00:00:00,,,,286.960205078125,40.05,-91.2
17001,2011-10-31 18:00:00,0.00500969882123166,40.05,-91.2,,,
17001,2011-11-01 00:00:00,,,,280.955615234375,40.05,-91.2
17001,2011-11-30 18:00:00,0.00199570651166136,40.05,-91.2,,,
17001,2011-12-01 00:00:00,,,,275.48125,40.05,-91.2
17001,2011-12-31 18:00:00,0.0007169364485889,40.05,-91.2,,,
17001,2012-01-01 00:00:00,,,,273.670947265625,40.05,-91.2
17001,2012-01-31 18:00:00,0.00172989363782102,40.05,-91.2,,,
17001,2012-02-01 00:00:00,,,,275.690283203125,40.05,-91.2
17001,2012-02-29 18:00:00,0.0021206854842603,40.05,-91.2,,,
17001,2012-03-01 00:00:00,,,,286.74287109375,40.05,-91.2
17001,2012-03-31 18:00:00,0.0035235165618359597,40.05,-91.2,,,
17001,2012-04-01 00:00:00,,,,287.100390625,40.05,-91.2
17001,2012-04-30 18:00:00,0.00226112580858166,40.05,-91.2,,,
17001,2012-05-01 00:00:00,,,,294.298291015625,40.05,-91.2
17001,2012-05-31 18:00:00,0.0012297868728637401,40.05,-91.2,,,
17001,2012-06-01 00:00:00,,,,297.4326171875,40.05,-91.2
17001,2012-06-30 18:00:00,0.0006803272292017399,40.05,-91.2,,,
17001,2012-07-01 00:00:00,,,,302.150146484375,40.05,-91.2
17001,2012-07-31 18:00:00,0.00164215546101328,40.05,-91.2,,,
17001,2012-08-01 00:00:00,,,,297.693212890625,40.05,-91.2
17001,2012-08-31 18:00:00,0.0031133173964917197,40.05,-91.2,,,
17001,2012-09-01 00:00:00,,,,292.111962890625,40.05,-91.2
17001,2012-09-30 18:00:00,0.00272308564744886,40.05,-91.2,,,
17001,2012-10-01 00:00:00,,,,284.9415771484375,40.05,-91.2
17001,2012-10-31 18:00:00,0.00111030917614694,40.05,-91.2,,,
17001,2012-11-01 00:00:00,,,,279.3508056640625,40.05,-91.2
17001,2012-11-30 18:00:00,0.00226178169250482,40.05,-91.2,,,
17001,2012-12-01 00:00:00,,,,275.97529296875,40.05,-91.2
17001,2012-12-31 18:00:00,0.00282967071980232,40.05,-91.2,,,
17001,2013-01-01 00:00:00,,,,272.25517578125,40.05,-91.2
17001,2013-01-31 18:00:00,0.00288521037437016,40.05,-91.2,,,
17001,2013-02-01 00:00:00,,,,272.432568359375,40.05,-91.2
17001,2013-02-28 18:00:00,0.002711403183639,40.05,-91.2,,,
17001,2013-03-01 00:00:00,,,,274.830517578125,40.05,-91.2
17001,2013-03-31 18:00:00,0.0058082580566405796,40.05,-91.2,,,
17001,2013-04-01 00:00:00,,,,283.712255859375,40.05,-91.2
17001,2013-04-30 18:00:00,0.00669157491065558,40.05,-91.2,,,
17001,2013-05-01 00:00:00,,,,291.148291015625,40.05,-91.2
17001,2013-05-31 18:00:00,0.0020285605918615402,40.05,-91.2,,,
17001,2013-06-01 00:00:00,,,,296.0710205078125,40.05,-91.2
17001,2013-06-30 18:00:00,0.00116958618164058,40.05,-91.2,,,
17001,2013-07-01 00:00:00,,,,297.6890258789062,40.05,-91.2
17001,2013-07-31 18:00:00,0.0001444816414732,40.05,-91.2,,,
17001,2013-08-01 00:00:00,,,,297.3564453125,40.05,-91.2
17001,2013-08-31 18:00:00,0.0017620920669286998,40.05,-91.2,,,
17001,2013-09-01 00:00:00,,,,294.1855224609375,40.05,-91.2
17001,2013-09-30 18:00:00,0.0024882494471967003,40.05,-91.2,,,
17001,2013-10-01 00:00:00,,,,286.035888671875,40.05,-91.2
17001,2013-10-31 18:00:00,0.00151518578641112,40.05,-91.2,,,
17001,2013-11-01 00:00:00,,,,277.3524658203125,40.05,-91.2
17001,2013-11-30 18:00:00,0.00149025903083378,40.05,-91.2,,,
17001,2013-12-01 00:00:00,,,,270.406689453125,40.05,-91.2
17001,2013-12-31 18:00:00,0.00140327806584532,40.05,-91.2,,,
17001,2014-01-01 00:00:00,,,,267.655517578125,40.05,-91.2
17001,2014-01-31 18:00:00,0.00262389173731204,40.05,-91.2,,,
17001,2014-02-01 00:00:00,,,,266.858740234375,40.05,-91.2
17001,2014-02-28 18:00:00,0.00143654337152836,40.05,-91.2,,,
17001,2014-03-01 00:00:00,,,,275.410986328125,40.05,-91.2
17001,2014-03-31 18:00:00,0.0039785145781934,40.05,-91.2,,,
17001,2014-04-01 00:00:00,,,,285.197119140625,40.05,-91.2
17001,2014-04-30 18:00:00,0.00218186373822386,40.05,-91.2,,,
17001,2014-05-01 00:00:00,,,,291.6966796875,40.05,-91.2
17001,2014-05-31 18:00:00,0.00487945061177014,40.05,-91.2,,,
17001,2014-06-01 00:00:00,,,,296.49453125,40.05,-91.2
17001,2014-06-30 18:00:00,0.0018862247467040401,40.05,-91.2,,,
17001,2014-07-01 00:00:00,,,,295.647021484375,40.05,-91.2
17001,2014-07-31 18:00:00,0.00475294576026494,40.05,-91.2,,,
17001,2014-08-01 00:00:00,,,,296.811376953125,40.05,-91.2
17001,2014-08-31 18:00:00,0.00207800851203498,40.05,-91.2,,,
17001,2014-09-01 00:00:00,,,,291.786572265625,40.05,-91.2
17001,2014-09-30 18:00:00,0.0034668087493627798,40.05,-91.2,,,
17001,2014-10-01 00:00:00,,,,286.156494140625,40.05,-91.2
17001,2014-10-31 18:00:00,0.00159339900128538,40.05,-91.2,,,
17001,2014-11-01 00:00:00,,,,275.6229248046875,40.05,-91.2
17001,2014-11-30 18:00:00,0.00141861434094602,40.05,-91.2,,,
17001,2014-12-01 00:00:00,,,,274.4729248046875,40.05,-91.2
17001,2014-12-31 18:00:00,0.0012268841266631601,40.05,-91.2,,,
17001,2015-01-01 00:00:00,,,,271.019970703125,40.05,-91.2
17001,2015-01-31 18:00:00,0.00168166160583492,40.05,-91.2,,,
17001,2015-02-01 00:00:00,,,,267.811669921875,40.05,-91.2
17001,2015-02-28 18:00:00,0.0011934756301342799,40.05,-91.2,,,
17001,2015-03-01 00:00:00,,,,278.860400390625,40.05,-91.2
17001,2015-03-31 18:00:00,0.0027555703185498,40.05,-91.2,,,
17001,2015-04-01 00:00:00,,,,287.11630859375,40.05,-91.2
17001,2015-04-30 18:00:00,0.00468857283703976,40.05,-91.2,,,
17001,2015-05-01 00:00:00,,,,292.2017578125,40.05,-91.2
17001,2015-05-31 18:00:00,0.0075672147329896395,40.05,-91.2,,,
17001,2015-06-01 00:00:00,,,,296.631396484375,40.05,-91.2
17001,2015-06-30 18:00:00,0.00273306360468262,40.05,-91.2,,,
17001,2015-07-01 00:00:00,,,,297.99443359375,40.05,-91.2
17001,2015-07-31 18:00:00,0.0023818492423742397,40.05,-91.2,,,
17001,2015-08-01 00:00:00,,,,296.6571044921875,40.05,-91.2
17001,2015-08-31 18:00:00,0.00212013712152832,40.05,-91.2,,,
17001,2015-09-01 00:00:00,,,,295.5561767578125,40.05,-91.2
17001,2015-09-30 18:00:00,0.0015326736960559599,40.05,-91.2,,,
17001,2015-10-01 00:00:00,,,,287.408203125,40.05,-91.2
17001,2015-10-31 18:00:00,0.00680806632153684,40.05,-91.2,,,
17001,2015-11-01 00:00:00,,,,281.9283935546875,40.05,-91.2
17001,2015-11-30 18:00:00,0.0053699471056461,40.05,-91.2,,,
17001,2015-12-01 00:00:00,,,,278.224951171875,40.05,-91.2
17001,2015-12-31 18:00:00,0.0008586881682276001,40.05,-91.2,,,
17001,2016-01-01 00:00:00,,,,271.223095703125,40.05,-91.2
17001,2016-01-31 18:00:00,0.0009396314620971,40.05,-91.2,,,
17001,2016-02-01 00:00:00,,,,274.793505859375,40.05,-91.2
17001,2016-02-29 18:00:00,0.0022337436210363797,40.05,-91.2,,,
17001,2016-03-01 00:00:00,,,,282.535546875,40.05,-91.2
17001,2016-03-31 18:00:00,0.0034620760940014803,40.05,-91.2,,,
17001,2016-04-01 00:00:00,,,,286.302587890625,40.05,-91.2
17001,2016-04-30 18:00:00,0.0029595850501209003,40.05,-91.2,,,
17001,2016-05-01 00:00:00,,,,290.718896484375,40.05,-91.2
17001,2016-05-31 18:00:00,0.00134438276290888,40.05,-91.2,,,
17001,2016-06-01 00:00:00,,,,299.28271484375,40.05,-91.2
17001,2016-06-30 18:00:00,0.00449342727661126,40.05,-91.2,,,
17001,2016-07-01 00:00:00,,,,298.3283203125,40.05,-91.2
17001,2016-07-31 18:00:00,0.0045951366424559995,40.05,-91.2,,,
17001,2016-08-01 00:00:00,,,,298.0689453125,40.05,-91.2
17001,2016-08-31 18:00:00,0.00259826178662472,40.05,-91.2,,,
17001,2016-09-01 00:00:00,,,,295.3029541015625,40.05,-91.2
17001,2016-09-30 18:00:00,0.00209007244557138,40.05,-91.2,,,
17001,2016-10-01 00:00:00,,,,289.45400390625,40.05,-91.2
17001,2016-10-31 18:00:00,0.00184272523038084,40.05,-91.2,,,
17001,2016-11-01 00:00:00,,,,282.686962890625,40.05,-91.2
17001,2016-11-30 18:00:00,0.00110414004884654,40.05,-91.2,,,
17001,2016-12-01 00:00:00,,,,272.26357421875,40.05,-91.2
17001,2016-12-31 18:00:00,0.00156265478581184,40.05,-91.2,,,
17001,2017-01-01 00:00:00,,,,273.164501953125,40.05,-91.2
17001,2017-01-31 18:00:00,0.00088886022567746,40.05,-91.2,,,
17001,2017-02-01 00:00:00,,,,279.229248046875,40.05,-91.2
17001,2017-02-28 18:00:00,0.0041537045035510605,40.05,-91.2,,,
17001,2017-03-01 00:00:00,,,,280.45556640625,40.05,-91.2
17001,2017-03-31 18:00:00,0.00693714618682858,40.05,-91.2,,,
17001,2017-04-01 00:00:00,,,,287.722998046875,40.05,-91.2
17001,2017-04-30 18:00:00,0.00350341796874998,40.05,-91.2,,,
17001,2017-05-01 00:00:00,,,,290.998291015625,40.05,-91.2
17001,2017-05-31 18:00:00,0.0031683444511145,40.05,-91.2,,,
17001,2017-06-01 00:00:00,,,,297.09345703125,40.05,-91.2
17001,2017-06-30 18:00:00,0.0017132520209997399,40.05,-91.2,,,
17001,2017-07-01 00:00:00,,,,299.254638671875,40.05,-91.2
17001,2017-07-31 18:00:00,0.00296277981251476,40.05,-91.2,,,
17001,2017-08-01 00:00:00,,,,295.2915771484375,40.05,-91.2
17001,2017-08-31 18:00:00,0.00058093070983882,40.05,-91.2,,,
17001,2017-09-01 00:00:00,,,,294.290576171875,40.05,-91.2
17001,2017-09-30 18:00:00,0.00386631479486816,40.05,-91.2,,,
17001,2017-10-01 00:00:00,,,,287.8381103515625,40.05,-91.2
17001,2017-10-31 18:00:00,0.0018697736784815198,40.05,-91.2,,,
17001,2017-11-01 00:00:00,,,,279.4947021484375,40.05,-91.2
17001,2017-11-30 18:00:00,0.00062645655125374,40.05,-91.2,,,
17001,2017-12-01 00:00:00,,,,272.56240234375,40.05,-91.2
17001,2017-12-31 18:00:00,0.00135990362614388,40.05,-91.2,,,
17001,2018-01-01 00:00:00,,,,269.816552734375,40.05,-91.2
17001,2018-01-31 18:00:00,0.00421299934387202,40.05,-91.2,,,
17001,2018-02-01 00:00:00,,,,273.188330078125,40.05,-91.2
17001,2018-02-28 18:00:00,0.0032104730140417397,40.05,-91.2,,,
17001,2018-03-01 00:00:00,,,,277.729541015625,40.05,-91.2
17001,2018-03-31 18:00:00,0.0010472297668456599,40.05,-91.2,,,
17001,2018-04-01 00:00:00,,,,281.41611328125,40.05,-91.2
17001,2018-04-30 18:00:00,0.00353014469146722,40.05,-91.2,,,
17001,2018-05-01 00:00:00,,,,296.38935546875,40.05,-91.2
17001,2018-05-31 18:00:00,0.0045220135711133,40.05,-91.2,,,
17001,2018-06-01 00:00:00,,,,298.621044921875,40.05,-91.2
17001,2018-06-30 18:00:00,0.00227988939732308,40.05,-91.2,,,
17001,2018-07-01 00:00:00,,,,298.2916259765625,40.05,-91.2
17001,2018-07-31 18:00:00,0.0040623425506055005,40.05,-91.2,,,
17001,2018-08-01 00:00:00,,,,298.2011352539063,40.05,-91.2
17001,2018-08-31 18:00:00,0.0036216735374182004,40.05,-91.2,,,
17001,2018-09-01 00:00:00,,,,294.755322265625,40.05,-91.2
17001,2018-09-30 18:00:00,0.00393507466651492,40.05,-91.2,,,
17001,2018-10-01 00:00:00,,,,285.969140625,40.05,-91.2
17001,2018-10-31 18:00:00,0.00319007616490122,40.05,-91.2,,,
17001,2018-11-01 00:00:00,,,,274.936181640625,40.05,-91.2
17001,2018-11-30 18:00:00,0.0034240243956446203,40.05,-91.2,,,
17001,2018-12-01 00:00:00,,,,274.427978515625,40.05,-91.2
17001,2018-12-31 18:00:00,0.00289905057288702,40.05,-91.2,,,
17001,2019-01-01 00:00:00,,,,269.204931640625,40.05,-91.2
17001,2019-01-31 18:00:00,0.0028869628440587997,40.05,-91.2,,,
17001,2019-02-01 00:00:00,,,,271.508154296875,40.05,-91.2
17001,2019-02-28 18:00:00,0.0035390376579016005,40.05,-91.2,,,
17001,2019-03-01 00:00:00,,,,277.000048828125,40.05,-91.2
17001,2019-03-31 18:00:00,0.00417327862232918,40.05,-91.2,,,
17001,2019-04-01 00:00:00,,,,285.64541015625,40.05,-91.2
17001,2019-04-30 18:00:00,0.00656607146374876,40.05,-91.2,,,
17001,2019-05-01 00:00:00,,,,290.81845703125,40.05,-91.2
17001,2019-05-31 18:00:00,0.00389533024281258,40.05,-91.2,,,
17001,2019-06-01 00:00:00,,,,296.04033203125,40.05,-91.2
17001,2019-06-30 18:00:00,0.0015755413100122999,40.05,-91.2,,,
17001,2019-07-01 00:00:00,,,,299.6310791015625,40.05,-91.2
17001,2019-07-31 18:00:00,0.00261571393348272,40.05,-91.2,,,
17001,2019-08-01 00:00:00,,,,297.1361328125,40.05,-91.2
17001,2019-08-31 18:00:00,0.0059758186282123805,40.05,-91.2,,,
17001,2019-09-01 00:00:00,,,,296.3287109375,40.05,-91.2
17001,2019-09-30 18:00:00,0.0034279583953320397,40.05,-91.2,,,
17001,2019-10-01 00:00:00,,,,284.65458984375,40.05,-91.2
17001,2019-10-31 18:00:00,0.00160126662813122,40.05,-91.2,,,
17001,2019-11-01 00:00:00,,,,276.46015625,40.05,-91.2
17001,2019-11-30 18:00:00,0.0010487317573278602,40.05,-91.2,,,
17001,2019-12-01 00:00:00,,,,275.630517578125,40.05,-91.2
17001,2019-12-31 18:00:00,0.0022588968276977,40.05,-91.2,,,
17001,2020-01-01 00:00:00,,,,272.824462890625,40.05,-91.2
17001,2020-01-31 18:00:00,0.0015900372993200601,40.05,-91.2,,,
17001,2020-02-01 00:00:00,,,,273.301025390625,40.05,-91.2
17001,2020-02-29 18:00:00,0.00397865772247308,40.05,-91.2,,,
17001,2020-03-01 00:00:00,,,,280.605029296875,40.05,-91.2
17001,2020-03-31 18:00:00,0.00370025625452394,40.05,-91.2,,,
17001,2020-04-01 00:00:00,,,,283.835888671875,40.05,-91.2
17001,2020-04-30 18:00:00,0.0048637387808412,40.05,-91.2,,,
17001,2020-05-01 00:00:00,,,,289.782568359375,40.05,-91.2
17001,2020-05-31 18:00:00,0.00293183326721186,40.05,-91.2,,,
17001,2020-06-01 00:00:00,,,,297.2978515625,40.05,-91.2
17001,2020-06-30 18:00:00,0.004085850622504919,40.05,-91.2,,,
17001,2020-07-01 00:00:00,,,,299.115966796875,40.05,-91.2
17001,2020-07-31 18:00:00,0.00067594051361078,40.05,-91.2,,,
17001,2020-08-01 00:00:00,,,,296.8225830078125,40.05,-91.2
17001,2020-08-31 18:00:00,0.0022918223403393797,40.05,-91.2,,,
17001,2020-09-01 00:00:00,,,,292.3073974609375,40.05,-91.2
17001,2020-09-30 18:00:00,0.0012769937049597001,40.05,-91.2,,,
17001,2020-10-01 00:00:00,,,,284.684716796875,40.05,-91.2
17001,2020-10-31 18:00:00,0.00197838526219124,40.05,-91.2,,,
17001,2020-11-01 00:00:00,,,,282.20908203125,40.05,-91.2
17001,2020-11-30 18:00:00,0.0014255402144044,40.05,-91.2,,,
17001,2020-12-01 00:00:00,,,,274.147607421875,40.05,-91.2
17001,2020-12-31 18:00:00,0.00264785285107786,40.05,-91.2,,,
17001,2021-01-01 00:00:00,,,,272.9783203125,40.05,-91.2
17001,2021-01-31 18:00:00,0.0016393659636378,40.05,-91.2,,,
17001,2021-02-01 00:00:00,,,,267.263232421875,40.05,-91.2
17001,2021-02-28 18:00:00,0.00367448329925532,40.05,-91.2,,,
17001,2021-03-01 00:00:00,,,,281.7158203125,40.05,-91.2
17001,2021-03-31 18:00:00,0.00411872859112914,40.05,-91.2,,,
17001,2021-04-01 00:00:00,,,,285.3798828125,40.05,-91.2
17001,2021-04-30 18:00:00,0.00535988803021604,40.05,-91.2,,,
17001,2021-05-01 00:00:00,,,,289.983935546875,40.05,-91.2
17001,2021-05-31 18:00:00,0.00570199484936888,40.05,-91.2,,,
17001,2021-06-01 00:00:00,,,,297.588671875,40.05,-91.2
17001,2021-06-30 18:00:00,0.00434534531086678,40.05,-91.2,,,
17001,2021-07-01 00:00:00,,,,297.7936767578125,40.05,-91.2
17001,2021-07-31 18:00:00,0.004498052550479701,40.05,-91.2,,,
17001,2021-08-01 00:00:00,,,,297.8928466796875,40.05,-91.2
17001,2021-08-31 18:00:00,0.00170265422202642,40.05,-91.2,,,
17001,2021-09-01 00:00:00,,,,294.6944213867188,40.05,-91.2
17001,2021-09-30 18:00:00,0.00480971322394902,40.05,-91.2,,,
17001,2021-10-01 00:00:00,,,,288.630908203125,40.05,-91.2
17001,2021-10-31 18:00:00,0.0006623862776905,40.05,-91.2,,,
17001,2021-11-01 00:00:00,,,,279.182080078125,40.05,-91.2
17001,2021-11-30 18:00:00,0.00146666746586554,40.05,-91.2,,,
17001,2021-12-01 00:00:00,,,,278.076953125,40.05,-91.2
17001,2021-12-31 18:00:00,0.00101344571448858,40.05,-91.2,,,
17001,2022-01-01 00:00:00,,,,268.318359375,40.05,-91.2
17001,2022-01-31 18:00:00,0.0024553059134632,40.05,-91.2,,,
17001,2022-02-01 00:00:00,,,,271.68271484375,40.05,-91.2
17001,2022-02-28 18:00:00,0.0032655833754688204,40.05,-91.2,,,
17001,2022-03-01 00:00:00,,,,279.668017578125,40.05,-91.2
17001,2022-03-31 18:00:00,0.0025055882986634603,40.05,-91.2,,,
17001,2022-04-01 00:00:00,,,,283.8974609375,40.05,-91.2
17001,2022-04-30 18:00:00,0.005451345257461019,40.05,-91.2,,,
17001,2022-05-01 00:00:00,,,,292.562109375,40.05,-91.2
17001,2022-05-31 18:00:00,0.0030750273261218796,40.05,-91.2,,,
17001,2022-06-01 00:00:00,,,,297.5482421875,40.05,-91.2
17001,2022-06-30 18:00:00,0.004630660964176,40.05,-91.2,,,
17001,2022-07-01 00:00:00,,,,298.61904296875,40.05,-91.2
17001,2022-07-31 18:00:00,0.0020859599113464003,40.05,-91.2,,,
17001,2022-08-01 00:00:00,,,,297.380322265625,40.05,-91.2
17001,2022-08-31 18:00:00,0.0024612188339233,40.05,-91.2,,,
17001,2022-09-01 00:00:00,,,,293.2042236328125,40.05,-91.2
17001,2022-09-30 18:00:00,0.00316704502329224,40.05,-91.2,,,
17001,2022-10-01 00:00:00,,,,285.3157958984375,40.05,-91.2
17001,2022-10-31 18:00:00,0.00218566651456052,40.05,-91.2,,,
17001,2022-11-01 00:00:00,,,,279.42568359375,40.05,-91.2
17001,2022-11-30 18:00:00,0.00117844333872194,40.05,-91.2,,,
17001,2022-12-01 00:00:00,,,,272.69287109375,40.05,-91.2
17001,2022-12-31 18:00:00,0.0015778420493006199,40.05,-91.2,,,
17001,2023-01-01 00:00:00,,,,274.38359375,40.05,-91.2
17001,2023-01-31 18:00:00,0.00295615186914796,40.05,-91.2,,,
17001,2023-02-01 00:00:00,,,,276.17421875,40.05,-91.2
17001,2023-02-28 18:00:00,0.00322210770100352,40.05,-91.2,,,
17001,2023-03-01 00:00:00,,,,278.4669921875,40.05,-91.2
17001,2023-03-31 18:00:00,0.0010979054961352999,40.05,-91.2,,,
17001,2023-04-01 00:00:00,,,,286.213818359375,40.05,-91.2
17001,2023-04-30 18:00:00,0.00166907291859384,40.05,-91.2,,,
17001,2023-05-01 00:00:00,,,,292.91142578125,40.05,-91.2
17001,2023-05-31 18:00:00,0.00113728046417232,40.05,-91.2,,,
17001,2023-06-01 00:00:00,,,,297.309521484375,40.05,-91.2
17001,2023-06-30 18:00:00,0.00231413831934328,40.05,-91.2,,,
17001,2023-07-01 00:00:00,,,,298.62841796875,40.05,-91.2
17001,2023-07-31 18:00:00,0.00454282760620114,40.05,-91.2,,,
17001,2023-08-01 00:00:00,,,,297.288818359375,40.05,-91.2
17001,2023-08-31 18:00:00,0.00135762682184572,40.05,-91.2,,,
17001,2023-09-01 00:00:00,,,,294.36866455078126,40.05,-91.2
17001,2023-09-30 18:00:00,0.00256149754859502,40.05,-91.2,,,
17001,2023-10-01 00:00:00,,,,287.6541259765625,40.05,-91.2
17001,2023-10-31 18:00:00,0.0006663500797003,40.05,-91.2,,,
17001,2023-11-01 00:00:00,,,,280.096923828125,40.05,-91.2
17001,2023-11-30 18:00:00,0.00310149183496826,40.05,-91.2,,,
